;Nome;Localização;Quartos;Serviço;Limpeza;Custo-Benefício;Conforto;Facilidades;Prédio
0;Radisson Recife;9.20;8.40;7.90;8.50;7.80;8.50;8.30;8.00
1;Golden Tulip Recife Boa Viagem;8.90;8.00;8.40;8.10;7.60;8.10;8.00;7.50
2;Mar Hotel Conventions;8.60;8.20;7.90;8.40;7.70;8.30;8.30;7.90
3;Best Western Hotel Manibu Recife;8.40;7.70;8.20;8.60;7.70;8.20;8.20;8.20
4;Transamérica Prestige Beach Class International;8.90;8.40;8.80;8.80;7.90;8.90;8.50;8.50
5;Beach Class Conselheiro By Nobile;8.39;7.55;8.30;8.70;7.79;8.30;7.68;8.10
6;Hotel Atlante Plaza;9.10;8.10;8.40;8.50;7.70;8.40;8.10;7.80
7;Nobile Beach Class Executive;8.80;8.30;8.40;8.70;7.90;8.60;8.40;8.10
8;Hotel Duble;8.40;7.20;7.80;7.70;7.50;7.20;7.80;7.00
9;Parkhotel;8.90;7.60;7.50;8.10;7.50;7.70;7.90;7.20
10;Bristol Recife Suites & Convention;8.20;8.50;8.20;8.80;8.20;8.70;8.20;8.50
11;Internacional Palace;8.90;7.40;8.10;7.90;7.40;7.80;7.60;7.70
12;Bianca Praia;8.70;7.60;8.50;8.20;8.10;7.80;7.70;7.59
13;Recife Monte;8.20;6.20;7.00;6.60;6.70;6.40;6.40;6.20
14;Recife Praia;8.50;7.50;8.10;7.90;7.50;7.50;7.50;7.20
15;Jangadeiro;8.90;7.60;7.80;7.40;7.30;7.30;7.10;7.50
16;Canariu's Palace;8.40;6.70;7.60;7.30;7.00;7.10;7.20;7.10
17;Courtyard Recife Boa Viagem;8.50;8.50;8.70;9.00;8.20;8.90;8.50;8.80
18;Vila Rica Hotel;8.90;7.60;8.10;8.40;7.60;7.60;7.90;7.50
19;Enseada da Boa Viagem;8.40;7.80;8.10;8.30;8.00;7.80;7.80;8.10
20;Boa Viagem Praia;8.50;6.80;7.10;7.00;6.90;6.50;6.60;6.30
21;Onda Mar;8.70;7.30;7.80;7.70;7.60;7.40;7.50;7.80
22;Mercure Recife Navegantes;8.50;7.50;7.20;8.10;7.30;7.90;7.90;7.40
23; Recife Flat service;8.20;7.50;7.90;7.80;7.80;7.90;7.50;7.50
24;Aconchego Recife;8.60;6.90;8.10;7.60;7.70;7.30;7.30;7.40
25;Vivaz Boutique;8.50;7.70;8.90;8.50;8.00;7.90;7.60;8.20
26;Nacional Inn Recife;7.70;7.10;7.80;7.70;7.40;7.00;7.30;7.10
27;Imperial Suites;8.80;7.55;8.60;8.30;8.40;8.10;8.10;7.59
28;Novohotell Recife;8.20;7.55;8.30;8.40;7.80;7.50;7.60;7.70
29;Recife Plaza;7.80;7.00;7.40;7.00;6.80;6.50;6.70;6.40
30;Marante Plaza;8.70;7.10;7.80;7.80;7.20;7.30;7.40;7.10
31;Pousada Villa Boa Vista;8.60;7.90;8.70;8.70;8.00;8.30;8.20;8.10
32;Julieta;8.90;7.55;8.60;8.60;8.40;7.80;7.70;7.59
33;ibis Recife Boa Viagem;8.20;8.00;8.10;8.60;8.00;8.40;7.68;8.00
34;Saveiro;8.70;7.30;8.30;7.80;7.80;7.10;7.10;7.59
35;Veraneio;8.10;7.40;7.80;8.00;7.70;7.10;7.30;7.30
36;Enseada Aeroporto;7.50;7.55;7.80;8.70;8.30;7.90;7.80;8.00
37;Navegantes Praia;8.70;7.10;7.90;7.50;7.50;6.90;7.10;7.10
38;Pousada Casuarinas;8.50;7.80;8.70;8.60;8.50;8.20;8.10;7.59
39;Inter Hotel;8.00;7.30;8.40;8.20;7.90;7.50;7.40;7.90
40;Uzi Praia;8.60;7.10;7.80;7.90;8.00;7.20;7.40;7.40
41;Mercure Recife Metropolis;8.00;8.10;8.40;8.30;7.50;8.20;8.10;7.80
42;LG Inn;8.50;7.40;7.40;7.90;7.30;7.80;7.70;7.60
43;Kruger Home;8.60;7.55;8.80;8.70;8.60;8.60;8.30;7.59
44;Arcada Hotel e Bistrô;8.00;6.00;6.80;6.20;6.00;5.50;6.00;7.59
45;RecifeFlat CDU;8.40;7.55;8.70;8.90;8.30;8.40;8.40;7.59
46;Imperador Residence;7.60;7.55;7.90;7.20;7.20;6.30;6.30;7.59
47;Vela Branca Praia Hotel;8.10;6.60;7.50;7.50;7.00;7.00;7.30;7.50
48;Fundação Cecosne;8.40;7.90;8.50;8.30;7.90;7.60;7.50;7.59
49;Guyamar;8.40;7.10;8.00;8.20;7.70;7.70;7.68;7.59
50;Casa da Boa Vista;8.30;7.55;8.70;8.60;8.30;7.80;7.80;7.59
51;Raio de Sol;8.40;7.55;7.70;8.00;7.70;7.72;7.20;7.20
52;Pousada da Praia;8.30;7.55;7.50;7.70;7.40;6.60;6.70;7.60
53;Aquamar Praia;8.50;7.30;7.20;7.60;7.30;6.80;7.10;7.10
54;Jaqueira Home Service;8.80;7.55;8.70;8.80;8.50;8.40;8.30;7.59
55;Boa Viagem;8.80;7.55;8.40;8.30;8.10;8.00;8.00;7.59
56;Studio Portal dos Navegantes;8.39;7.55;8.14;8.14;7.79;7.72;7.68;7.59
57;Pousada do Forte;7.50;7.70;8.40;8.20;7.70;7.70;7.50;7.59
58;Ramon;8.60;7.55;8.30;8.00;8.30;7.50;7.60;7.59
59;Pousada Praia Boa Viagem;8.80;7.55;8.60;8.60;8.10;8.00;7.70;7.59
60;Mi Casa Su Casa;7.90;7.55;8.30;8.00;7.70;7.80;7.50;7.59
61;Hospedaria Casa Do Moinho;7.90;7.55;8.30;8.70;8.10;7.70;7.60;7.59
62;Bristol Recife Hotel & Convention;8.40;7.55;8.40;8.90;8.30;8.80;8.50;8.60
63;Hotel Pousada da Praça;8.80;7.80;8.20;8.40;8.00;8.00;7.68;7.59
64;Palanca Negra;7.40;7.55;8.90;8.80;8.50;8.60;8.60;7.59
65;Betel Beach Flat;8.40;7.55;8.40;8.30;7.90;8.00;8.00;7.59
66;Park Way Home Service;8.40;7.55;8.10;7.90;8.00;7.70;7.70;7.59
67;Pousada Recife Inn;7.30;7.40;7.60;7.50;7.30;6.90;7.10;7.40
68;Pousada Vitoria;8.60;7.80;8.40;8.40;8.00;7.90;8.00;7.59
69;Boa Viagem Apartment;8.70;7.55;8.40;8.70;8.20;8.10;8.30;7.59
70;Flat Navegantes;8.80;7.55;8.60;8.20;8.10;8.10;8.00;7.59
71;Coqueiral;9.00;7.70;9.00;8.60;8.50;7.90;7.70;7.80
72;Estação do Mangue;8.20;8.00;8.80;8.10;8.40;7.90;7.70;7.59
73;Apart Boa Viagem Seaview;8.70;7.55;8.40;8.50;8.20;8.20;8.20;7.59
74;Sobrado;8.50;7.40;8.10;7.90;7.50;7.40;7.40;7.70
75;Albergue Cultural São Salomão;8.30;7.55;8.60;8.40;8.20;8.00;7.80;7.59
76;Forum;7.00;7.80;7.90;8.00;7.70;7.40;7.90;7.30
77;Motel Devaneios;8.20;7.90;8.20;8.10;7.80;7.70;7.60;7.59
78;Albergue Cultural São Salomão;8.30;7.55;8.60;8.40;8.20;8.00;7.80;7.59
79;Forum;7.00;7.80;7.90;8.00;7.70;7.40;7.90;7.30
80;Motel Devaneios;8.20;7.90;8.20;8.10;7.80;7.70;7.60;7.59
