;nome_do_hotel;localizacao;quartos;servico;limpeza;custo-beneficio;conforto;facilidades;predio;cafe_da_manha;comida
0;Radisson Recife;92;84;79;85;78;85;83;80;Não avaliadoNão disponível;76
1;Golden Tulip Recife Boa Viagem;89;80;84;81;76;81;80;75;Não avaliadoNão disponível;77
2;Mar Hotel Conventions;86;82;79;84;77;83;83;79;70;75
3;Best Western Hotel Manibu Recife;84;77;82;86;77;82;82;82;75;75
4;Transamérica Prestige Beach Class International;89;84;88;88;79;89;85;85;Não avaliadoNão disponível;Não avaliadoNão disponível
5;Beach Class Conselheiro By Nobile;Não avaliadoNão disponível;Não avaliadoNão disponível;83;87;Não avaliadoNão disponível;83;Não avaliadoNão disponível;81;Não avaliadoNão disponível;Não avaliadoNão disponível
6;Hotel Atlante Plaza;91;81;84;85;77;84;81;78;78;76
7;Nobile Beach Class Executive;88;83;84;87;79;86;84;81;72;80
8;Hotel Duble;84;72;78;77;75;72;78;70;Não avaliadoNão disponível;78
9;Parkhotel;89;76;75;81;75;77;79;72;78;80
10;Bristol Recife Suites & Convention;82;85;82;88;82;87;82;85;Não avaliadoNão disponível;76
11;Internacional Palace;89;74;81;79;74;78;76;77;74;76
12;Bianca Praia;87;76;85;82;81;78;77;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
13;Recife Monte;82;62;70;66;67;64;64;62;77;74
14;Recife Praia;85;75;81;79;75;75;75;72;76;80
15;Jangadeiro;89;76;78;74;73;73;71;75;Não avaliadoNão disponível;Não avaliadoNão disponível
16;Canariu's Palace;84;67;76;73;70;71;72;71;76;Não avaliadoNão disponível
17;Courtyard Recife Boa Viagem;85;85;87;90;82;89;85;88;Não avaliadoNão disponível;77
18;Vila Rica Hotel;89;76;81;84;76;76;79;75;Não avaliadoNão disponível;76
19;Enseada da Boa Viagem;84;78;81;83;80;78;78;81;74;Não avaliadoNão disponível
20;Boa Viagem Praia;85;68;71;70;69;65;66;63;75;76
21;Onda Mar;87;73;78;77;76;74;75;78;76;79
22;Mercure Recife Navegantes;85;75;72;81;73;79;79;74;79;79
23; Recife Flat service;82;75;79;78;78;79;75;75;72;Não avaliadoNão disponível
24;Aconchego Recife;86;69;81;76;77;73;73;74;Não avaliadoNão disponível;Não avaliadoNão disponível
