;Nome;Academia;Acesso direto à praia;Animais permitidos;Bar na beira da Piscina;Bar no hotel;Cabeleireiro;Centro financeiro;Check-in / out Expresso;Cofre na recepção;Concierge;Elevador;Estacionamento;Guarda-sol;Lavanderia;Loja de conveniência;PC com Internet;Piscina exterior;Piscina interna;Quarto para não-fumantes;Recepção 24 horas;Restaurante;Sala de conferências;Serviço de portaria;Serviço de quarto;Serviço de quarto 24 horas;Spa;Terraço;Transfer de/ para aeroporto;Wi-Fi grátis no lobby;Acesso Wi-Fi nos quartos;Ar condicionado;Banheiro com banheira;Banheiro com ducha;Canais de TV via satélite;Cofre no quarto;Cozinha quitinete;Espelho de aumento;Ferro e tábua de passar;Geladeira;Internet;Mesa de trabalho;Microondas;Secador;Telefone;TV a cabo;TV LCD;Varanda / Terraço;Wi-Fi grátis nos quartos
0;Radisson Recife;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0;1
1;Golden Tulip Recife Boa Viagem;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0
2;Mar Hotel Conventions;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
3;Best Western Hotel Manibu Recife;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1
4;Hotel Atlante Plaza;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
5;Beach Class Conselheiro By Nobile;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0
6;Transamérica Prestige Beach Class International;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1
7;Hotel Duble;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;1;0;1
8;Nobile Beach Class Executive;1;0;0;1;1;0;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;1
9;Recife Monte;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1
10;Recife Praia;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1
11;Bianca Praia;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0
12;Jangadeiro;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1
13;Internacional Palace;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
14;Enseada da Boa Viagem;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1
15;Parkhotel;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1
16;Bristol Recife Suites & Convention;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1
17;Canariu's Palace;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1
18;Boa Viagem Praia;1;1;1;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1
19;Onda Mar;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;0
20;Mercure Recife Navegantes;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1
21;Vivaz Boutique;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1
