,Nome,localizacao,quartos,servico,limpeza,custo-beneficio,conforto,facilidades,predio,cafe_da_manha,comida,Academia,Acesso direto à praia,Animais permitidos,Bar na beira da Piscina,Bar no hotel,Cabeleireiro,Centro financeiro,Check-in / out Expresso,Cofre na recepção,Concierge,Elevador,Estacionamento,Guarda-sol,Lavanderia,Loja de conveniência,PC com Internet,Piscina exterior,Piscina interna,Quarto para não-fumantes,Recepção 24 horas,Restaurante,Sala de conferências,Serviço de portaria,Serviço de quarto,Serviço de quarto 24 horas,Spa,Terraço,Transfer de/ para aeroporto,Wi-Fi grátis no lobby,Acesso Wi-Fi nos quartos,Ar condicionado,Banheiro com banheira,Banheiro com ducha,Canais de TV via satélite,Cofre no quarto,Cozinha quitinete,Espelho de aumento,Ferro e tábua de passar,Geladeira,Internet,Mesa de trabalho,Microondas,Secador,Telefone,TV a cabo,TV LCD,Varanda / Terraço,Wi-Fi grátis nos quartos
0,Radisson Recife,92,84,79,85.0,78,85,83,80,Não avaliadoNão disponível,76,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1
1,Golden Tulip Recife Boa Viagem,89,80,84,81.0,76,81,80,75,Não avaliadoNão disponível,77,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0
2,Mar Hotel Conventions,86,82,79,84.0,77,83,83,79,70,75,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
3,Best Western Hotel Manibu Recife,84,77,82,86.0,77,82,82,82,75,75,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1
4,Transamérica Prestige Beach Class International,89,84,88,88.0,79,89,85,85,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
5,Beach Class Conselheiro By Nobile,Não avaliadoNão disponível,Não avaliadoNão disponível,83,87.0,Não avaliadoNão disponível,83,Não avaliadoNão disponível,81,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0
6,Hotel Atlante Plaza,91,81,84,85.0,77,84,81,78,78,76,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
7,Nobile Beach Class Executive,88,83,84,87.0,79,86,84,81,72,80,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
8,Hotel Duble,84,72,78,77.0,75,72,78,70,Não avaliadoNão disponível,78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1
9,Parkhotel,89,76,75,81.0,75,77,79,72,78,80,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1
10,Bristol Recife Suites & Convention,82,85,82,88.0,82,87,82,85,Não avaliadoNão disponível,76,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
11,Internacional Palace,89,74,81,79.0,74,78,76,77,74,76,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
12,Bianca Praia,87,76,85,82.0,81,78,77,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
13,Recife Monte,82,62,70,66.0,67,64,64,62,77,74,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1
14,Recife Praia,85,75,81,79.0,75,75,75,72,76,80,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1
