;Nome;localizacao;quartos;facilidades;cafe_da_manha;comida;Academia;Acesso direto à praia;Animais permitidos;Bar na beira da Piscina;Bar no hotel;Cabeleireiro;Centro financeiro;Check-in / out Expresso;Cofre na recepção;Concierge;Elevador;Estacionamento;Guarda-sol;Lavanderia;Loja de conveniência;PC com Internet;Piscina exterior;Piscina interna;Quarto para não-fumantes;Recepção 24 horas;Restaurante;Sala de conferências;Serviço de portaria;Serviço de quarto;Serviço de quarto 24 horas;Spa;Terraço;Transfer de/ para aeroporto;Wi-Fi grátis no lobby;Acesso Wi-Fi nos quartos;Ar condicionado;Banheiro com banheira;Banheiro com ducha;Canais de TV via satélite;Cofre no quarto;Cozinha quitinete;Espelho de aumento;Ferro e tábua de passar;Mesa de trabalho;Secador;Telefone;TV LCD
0;Radisson Recife;92.00;84.00;83.00;74.83;76.00;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1
1;Golden Tulip Recife Boa Viagem;89.00;80.00;80.00;74.83;77.00;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0
2;Mar Hotel Conventions;86.00;82.00;83.00;70.00;75.00;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;0;1;1;1;0
3;Best Western Hotel Manibu Recife;84.00;77.00;82.00;75.00;75.00;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1
4;Transamérica Prestige Beach Class International;89.00;84.00;85.00;74.83;77.05;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0
5;Beach Class Conselheiro By Nobile;84.35;75.52;76.75;74.83;77.05;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1
6;Hotel Atlante Plaza;91.00;81.00;81.00;78.00;76.00;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0
7;Nobile Beach Class Executive;88.00;83.00;84.00;72.00;80.00;1;0;0;1;1;0;1;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;0
8;Hotel Duble;84.00;72.00;78.00;74.83;78.00;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1
9;Parkhotel;89.00;76.00;79.00;78.00;80.00;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;0
10;Bristol Recife Suites & Convention;82.00;85.00;82.00;74.83;76.00;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0
11;Internacional Palace;89.00;74.00;76.00;74.00;76.00;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0
12;Bianca Praia;87.00;76.00;77.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
13;Recife Monte;82.00;62.00;64.00;77.00;74.00;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0
14;Recife Praia;85.00;75.00;75.00;76.00;80.00;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;0;1;0
15;Jangadeiro;89.00;76.00;71.00;74.83;77.05;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0
16;Canariu's Palace;84.00;67.00;72.00;76.00;77.05;0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0
17;Courtyard Recife Boa Viagem;85.00;85.00;85.00;74.83;77.00;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0
18;Vila Rica Hotel;89.00;76.00;79.00;74.83;76.00;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0
19;Enseada da Boa Viagem;84.00;78.00;78.00;74.00;77.05;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;1;0
20;Boa Viagem Praia;85.00;68.00;66.00;75.00;76.00;1;1;1;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;0
21;Onda Mar;87.00;73.00;75.00;76.00;79.00;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0
22;Mercure Recife Navegantes;85.00;75.00;79.00;79.00;79.00;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0
23; Recife Flat service;82.00;75.00;75.00;72.00;77.05;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;1
24;Aconchego Recife;86.00;69.00;73.00;74.83;77.05;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0
