;Nome do Hotel;Localizacao;Quartos;Servico;Limpeza;Custo-Benefício;Conforto;Facilidades;Prédio;Café da Manhã;Comida
0;Vivaz Boutique;85;77.0;89;85;80;79;76.0;82.0;;
1;Nacional Inn Recife;77;71.0;78;77;74;70;73.0;71.0;74.0;
2;Imperial Suites;88;;86;83;84;81;81.0;;;
3;Novohotell Recife;82;;83;84;78;75;76.0;77.0;;
4;Recife Plaza;78;70.0;74;70;68;65;67.0;64.0;76.0;77.0
5;Marante Plaza;87;71.0;78;78;72;73;74.0;71.0;74.0;75.0
6;Pousada Villa Boa Vista;86;79.0;87;87;80;83;82.0;81.0;;
7;Julieta;89;;86;86;84;78;77.0;;;
8;ibis Recife Boa Viagem;82;80.0;81;86;80;84;;80.0;;
9;Saveiro;87;73.0;83;78;78;71;71.0;;;
10;Veraneio;81;74.0;78;80;77;71;73.0;73.0;;78.0
11;Enseada Aeroporto;75;;78;87;83;79;78.0;80.0;;
12;Navegantes Praia;87;71.0;79;75;75;69;71.0;71.0;;
13;Pousada Casuarinas;85;78.0;87;86;85;82;81.0;;;
14;Inter Hotel;80;73.0;84;82;79;75;74.0;79.0;;
15;Uzi Praia;86;71.0;78;79;80;72;74.0;74.0;;
16;Mercure Recife Metropolis;80;81.0;84;83;75;82;81.0;78.0;;78.0
17;LG Inn;85;74.0;74;79;73;78;77.0;76.0;;
18;Kruger Home;86;;88;87;86;86;83.0;;;
19;Arcada Hotel e Bistrô;80;60.0;68;62;60;55;60.0;;71.0;
20;RecifeFlat CDU;84;;87;89;83;84;84.0;;;
21;Imperador Residence;76;;79;72;72;63;63.0;;;
22;Vela Branca Praia Hotel;81;66.0;75;75;70;70;73.0;75.0;;
23;Fundação Cecosne;84;79.0;85;83;79;76;75.0;;;
24;Guyamar;84;71.0;80;82;77;77;;;;
